"Patch_ID","Species","Life_Stage","Presence","Presence2","Abundance","Density","Survey_Area","Long_M","Lat_M","Habitat","Mangrove_Dist","Reef_Dist","Depth","Slope","BPI_Broad","Mean_Sum_Temp","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_Sal","Patch_Area","PA_Ratio","Patch_Neigh_Dist","Area_CRHB","Area_SG","Pred_Density","Object_ID"
5639,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,269883.6505,85665.1976,1,7450.981445,483.761535644531,-7.001549244,5.143974304,-8,30.0521965,35.69029617,23.54973412,36.39077377,8843.08028742343,0.0440693412168648,9.85537098755714,94595.7301479262,157141.971999672,0.0331920903954802,173
8361,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,290570.0206,142922.4756,5,12791.83496,210.355346679688,-8.415385246,0.642031789,137,30.35190201,35.524189,23.67748451,35.68851852,8178.81433164218,0.0485492575742761,29.2795397085984,239863.179864366,117098.740166184,0.00282485875706215,464
708,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,155420.4145,27106.9555,1,4796.01123,4088.2841796875,-9.078783989,0.936896563,64,30.40345764,35.51097488,24.60920715,36.05603027,2386.61864747585,0.0761585057780829,20.7495877641438,90553.0764728579,421596.86346128,0.0169491525423729,24
4380,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,284643.7552,119925.2452,1,4576.065918,2962.07104492188,-5.386688709,2.541562319,209,30.49207687,35.51097488,23.32231331,36.30922318,22843.5793840029,0.0403415209644577,3.36031893271542,131560.059308884,626191.442694099,0.0141242937853107,349
455,"LUT GRIS","SUBADULT","1","PRESENCE",5,0.0282485875706215,177,206930.9556,43467.7898,1,4167.071289,3988.39135742188,-7.327880383,0.244329929,64,30.61802292,35.51097488,23.9153614,36.00454712,588.480717198573,0.158794780630603,11.7350688976387,107135.859242864,654149.557966737,0.00282485875706215,95
2929,"LUT GRIS","SUBADULT","1","PRESENCE",1.75,0.00988700564971751,177,284860.8839,120593.539,1,4794.14209,2926.33520507812,-7.414591312,1.204800725,-8,30.49342346,35.51097488,23.32729721,36.35556412,550.560836064306,0.153511439700152,20.1648735194837,139258.567293969,602134.307713318,0,358
1655,"LUT GRIS","SUBADULT","1","PRESENCE",3,0.0169491525423729,177,263253.758,81329.2107,1,5521.158203,3693.3662109375,-3.348159552,0.633845866,137,30.23734856,35.51355362,23.513237,36.45945358,7083.54127961736,0.0447233036708482,12.1301387782714,62708.660360943,635738.714302988,0.00847457627118644,165
2122,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,283751.6379,116319.1705,3,5176.021484,2486.923828125,-6.949727535,0.925547898,137,30.47995758,35.51097488,23.34697342,36.12266922,5805.71517411571,0.0623775363729301,14.403073193704,116419.609253321,668976.271652721,0,317
7658,"LUT GRIS","SUBADULT","1","PRESENCE",2.5,0.0141242937853107,177,285420.8732,125396.3051,1,3651.686035,1932.04577636719,-8.335102081,1.201218367,-8,30.47851753,35.51097488,23.29671669,36.64307785,585.246452413022,0.155945341745053,1.15402109947319,80714.7424429251,703833.173830983,0.00282485875706215,409
4190,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,284972.1905,122400.0364,3,4255.929199,3255.48779296875,-5.651398659,0.54975456,64,30.49033165,35.51097488,23.30110168,36.49643707,497.16504634612,0.164759323354535,3.10683545107909,33756.9107771553,751639.445284069,0.00847457627118644,369
6641,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286946.7424,129861.9425,3,4356.421387,595,-7.167921543,0.267577827,64,30.45269966,35.54269409,23.38384438,36.57520676,5060.09417094456,0.0724111338119135,6.60540256046514,80940.3248385715,704455.786986048,0.00564971751412429,442
1140,"LUT GRIS","SUBADULT","1","PRESENCE",1,0.00564971751412429,177,227444.3286,55885.5508,1,2554.263916,7511.95947265625,-4.272677422,0.573117375,64,30.5803566,35.53447342,24.18570328,36.10514832,109683.910949237,0.0145921780646978,3819.74956956606,677296.152101052,108100.678524617,0.0572033898305085,103
2831,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,281977.6124,110155.359,1,7389.265625,2113.6396484375,-5.829379559,0.849656105,137,30.42516136,35.51097488,23.49634361,36.22356796,521.810036979789,0.161491086843116,299.420448246354,512737.698688384,186926.529218997,0.00564971751412429,251
78,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,167866.9808,29831.8212,5,4788.955078,3371.77661132812,-9.578168869,0.407936782,137,30.43035126,35.57884216,24.35213661,36.03214645,5302.10087756039,0.0514884979962874,39.3340630591309,72778.2626555878,267750.186063723,0,44
